Cauã Freitas
João Felipe Azevedo
Augusto Nogueira
Miguel Ferreira
Isaac Santos
Otávio Pires
Luiz Gustavo Azevedo
Marcelo Moraes
Nathan Caldeira
Kaique da Cunha
João Pedro Carvalho
Pedro Gomes
Vitor Gabriel Costa
Thomas da Cunha
Danilo Pereira
Benjamin Pinto
Marcelo Lima
Ian Vieira
Paulo Cavalcanti
Nathan Viana
Eduardo Duarte
João Gabriel Cardoso
Gabriel Oliveira
Cauê da Luz
Pedro Henrique da Costa
João Lucas Caldeira
Thomas da Paz
Davi Lucca Novaes
Thiago Caldeira
Davi Luiz Santos
Murilo Caldeira
Breno Silveira
Thales Barros
Benjamin Cunha
Noah Rocha
João Pedro Martins
Joaquim Porto
João Vitor Silva
Luiz Fernando Gonçalves
Anthony das Neves
Francisco Viana
Juan Costela
Cauã Duarte
Luiz Felipe Cardoso
Vinicius Melo
João Felipe Silveira
Antônio Duarte
Pietro Silveira
Bryan Fogaça
Vitor da Mata
João Vitor Freitas
Igor Fogaça
Benjamin Farias
Daniel Pereira
Enzo Gabriel Mendes
Carlos Eduardo Azevedo
Heitor Pires
Joaquim Silveira
Ian Nogueira
Igor Caldeira
Luiz Fernando Rocha
Fernando da Mota
Diego Rodrigues
Lorenzo Lopes
Yago Sales
Emanuel Castro
Luigi Silva
Nicolas Pinto
Gustavo Ramos
Bryan Gonçalves
Davi Luiz Martins
Lucca Fogaça
Lucas Gabriel Melo
Luiz Henrique Duarte
Lucas Araújo
Cauã da Paz
Murilo Rezende
Davi Lucca Fogaça
Kevin Teixeira
Renan Araújo
Noah Melo
Gabriel Carvalho
Raul Peixoto
Matheus Silva
Davi Lucca das Neves
Eduardo Caldeira
João Guilherme Cavalcanti
Theo Barros
João Pedro Aragão
Yuri das Neves
Nicolas da Mata
Nicolas da Costa
Benício Duarte
Luiz Henrique Correia
Rodrigo da Mota
João Guilherme Azevedo
Thomas Farias
Thiago Pereira
Breno Vieira
Thales Lima
Pedro Lucas Dias
Davi Martins
Theo Fogaça
Henrique Jesus
João Miguel da Mota
Ian Peixoto
Danilo Barros
Lucas Gabriel Mendes
Guilherme Jesus
Thomas Nunes
Luigi Viana
Vitor Fernandes
Bruno da Luz
Davi Lucca Cardoso
Antônio da Conceição
Raul Correia
Bryan Ramos
Joaquim Cunha
Erick Moura
Samuel Fernandes
Danilo Pinto
Davi Luiz Ramos
Joaquim Silva
Juan Pires
Pedro Miguel Pires
Kevin Nascimento
Kaique Gonçalves
Gustavo da Cruz
Antônio da Cruz
Pietro Almeida
Thomas da Cruz
Vitor Pinto
Levi Rezende
André Melo
Pedro Araújo
Noah Ribeiro
Luigi da Rosa
Nicolas Almeida
Danilo Vieira
Gustavo Pereira
Joaquim Melo
Guilherme da Costa
Enzo Gabriel Nogueira
Vitor Hugo Martins
Samuel Castro
Davi Lucca Melo
Luiz Felipe Moreira
Benício Carvalho
Pedro Lucas Aragão
Pedro Henrique Santos
